Cruise;Date;DeciYear;Year;Month;Day;Hours;Minutes;Longitude;Latitude;Pressure;Depth;Temperature;Salinity;Conductivity;O2;Beam;PAR;Fluor;Sig_theta;Season;VertZone;MLD_dens125;MLD_bvfrq;MLD_densT2;DCM;z_par_1pcnt
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;233;231.25169;18.815;36.5573;4.8671;197.42;0.403;0.04;-0.004;26.27023;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;235;233.2364;18.7986;36.5568;4.8654;197.89999;0.403;0;0;26.27412;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;237;235.21989;18.8066;36.5575;4.8664;198.38;0.403;0;-0.001;26.27271;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;239;237.20351;18.7727;36.5549;4.8626;197.61;0.403;0;-0.002;26.27946;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;241;239.18719;18.8247;36.5601;4.8688;197.48;0.403;0;0.002;26.27026;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;243;241.17171;18.785;36.5572;4.8644;197.58;0.403;0;0.008;26.27827;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;245;243.1544;18.8043;36.5577;4.8665;195.44;0.403;0;0.003;26.27382;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;247;245.1391;18.7564;36.5635;4.8623;197.23;0.403;0;0.001;26.29057;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;249;247.12219;18.7572;36.5646;4.8626;194.13;0.403;0;0;26.29129;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;251;249.10629;18.7583;36.5654;4.8629;195.05;0.402;0;0.002;26.29172;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
321;08/03/2016;2016.18518;2016;3;8;18;17;295.82001;31.679;253;251.0907;18.7565;36.5647;4.8627;194;0.402;0;0.002;26.29173;1;3;118.1404;102.2592;106.2293;108.2149;197.5229
